Project,Type,Installed_MW,Connection_Date,County,Connection_Type
Ballynultagh Wind Farm,Wind,0.499,20-03-2020,Carlow,DSO
Ballon Wind,Wind,0.499,07-09-2017,Carlow,DSO
Gortnahalla,Wind,0.499,07-06-2019,Tipperary,DSO
Moyvane Wind,Wind,0.499,10-12-2019,Roscommon,DSO
Tesco Donabate,Wind,0.499,01-09-2016,Dublin,DSO
Kilpatrick Wind,Wind,0.499,30-01-2020,Cork,DSO
Patrick Costello Wind Turbine,Wind,0.495,21-12-2018,Tipperary,DSO
KWT Energy Ltd,Wind,0.49,20-12-2016,Waterford,DSO
Meenkeeragh Wind Farm (2),Wind,0.4,25-04-2013,Donegal,DSO
Glackmore Hill (3),Wind,0.3,28-04-2009,Donegal,DSO
Meade Potato Company,Wind,0.3,03-06-2014,Wexford,DSO
Moneenatieve Wind Farm (2),Wind,0.29,15-10-2011,Monaghan,DSO
Donaghmede Fr Collins Park Wind Farm,Wind,0.25,01-05-2009,Sligo,DSO
Mounvaun (Mienvee) Wind Farm (2),Wind,0.19,01-01-2008,Clare,DSO
Burtonstown Autoproducer,Wind,0.15,01-10-2014,Wexford,DSO
Burtonstown,Wind,0.15,01-10-2014,Wexford,DSO
Tierney Farms,Wind,0.15,18-04-2017,Waterford,DSO
Tullow Mushroom Growers Ltd,Wind,0.133,01-11-2010,Carlow,DSO
Patrick Costello Wind Turbine Ext,Wind,0.13,15-03-2022,Tipperary,DSO
"St Patricks Missionary Society, Co. Wicklow",Wind,0.13,26-06-2012,Wicklow,DSO
IS Sustainable Supply Chain,Wind,0.12,01-09-2023,Donegal,DSO
James Nally,Wind,0.11,14-11-2013,Westmeath,DSO
Leo Barry,Wind,0.05,19-08-2015,Wexford,DSO
Allen Removals,Wind,0.02,05-09-2014,Tyrone,DSO
Anarget Wind Farm (2),Wind,0.02,01-12-2004,Donegal,DSO
Owenstown,Wind,0.018,01-12-2010,Kildare,DSO
Carrickallen Wind Farm,Wind,22,11-10-2018,Dublin,DSO
Sheskin Windfarm Phase1,Wind,16.8,07-12-2023,Mayo,DSO
Shalvey Poultry WT,Wind,0.017,01-02-2013,Dublin,DSO
Lios na Carraige,Wind,0.017,01-10-2008,Meath,DSO
M8 Junction 10 WT,Wind,0.01,18-07-2012,Tipperary,DSO
