Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone,Latitude,Longitude
Gneeves Wind Farm,Wind,Onshore,9.35,29-06-2005,Kerry,DSO,South,52.1545,-9.5669
Flughland,Wind,Onshore,9.2,30-06-2009,Donegal,DSO,North,54.6544,-8.1041
Lisdowney Wind Farm,Wind,Onshore,9.2,14-10-2016,Kilkenny,DSO,East,52.6541,-7.2448
Clogheravaddy Wind Farm (Phase 1),Wind,Onshore,9.2,03-12-2019,Donegal,DSO,North,54.6544,-8.1041
Teevurcher Wind Farm,Wind,Onshore,9.0,18-12-2017,Meath,DSO,East,53.6056,-6.6564
Hollyford(Holyford) Wind Farm,Wind,Onshore,9.0,10-12-2013,Tipperary,DSO,South,52.4732,-8.1615
Tullynamoyle,Wind,Onshore,9.0,01-07-2011,Monaghan,DSO,North,54.2498,-6.9683
Knockaneden Wind Farm,Wind,Onshore,9.0,14-09-2012,Leitrim,DSO,West,54.1836,-8.0548
Garranereagh Wind Farm,Wind,Onshore,8.75,30-04-2013,Cork,DSO,South,51.8979,-8.4706
Kealkil Wind Farm,Wind,Onshore,8.5,01-05-2005,Cork,DSO,South,51.8979,-8.4706
Derrynadivva Wind Farm (prev. sd),Wind,Onshore,8.5,20-09-2009,Mayo,DSO,West,53.9846,-9.2822
Ballybane 2 (Glanta Commons) Wind Farm,Wind,Onshore,8.4,01-11-2009,Cork,DSO,South,51.8979,-8.4706
Ballymartin (2) - Smithstown,Wind,Onshore,8.28,29-03-2013,Waterford,DSO,South,52.2593,-7.1101
Sorrell Island (Glenmore) WF Ext,Wind,Onshore,8.0,28-10-2020,Clare,DSO,West,52.8436,-9.0038
Killaveenoge Windfarm - (Derryvacorneen merge with Barrboy),Wind,Onshore,7.8,16-12-2016,Cork,DSO,South,51.8979,-8.4706
Carrickeeny Wind Farm,Wind,Onshore,7.65,24-03-2014,Sligo,DSO,West,54.2766,-8.4761
Altagowlan Wind Farm,Wind,Onshore,7.65,01-09-2005,Monaghan,DSO,North,54.2498,-6.9683
Loughderryduff Wind Farm,Wind,Onshore,7.65,01-10-2008,Donegal,DSO,North,54.6544,-8.1041
Sonnagh Old Phase 1,Wind,Onshore,7.65,01-05-2004,Galway,DSO,West,53.2707,-9.0568
Mullananalt Wind Farm,Wind,Onshore,7.5,01-11-2008,Meath,DSO,East,53.6056,-6.6564
Knockastanna Wind Farm,Wind,Onshore,7.5,01-03-2009,Clare,DSO,West,52.8436,-9.0038
Tournafulla Wind Farm (1),Wind,Onshore,7.5,01-01-2007,Roscommon,DSO,West,53.627,-8.19
Sorne Hill (2),Wind,Onshore,7.4,20-02-2009,Donegal,DSO,North,54.6544,-8.1041
Derrynadivva Extension,Wind,Onshore,6.8,18-12-2019,Mayo,DSO,West,53.9846,-9.2822
Black Banks (2),Wind,Onshore,6.8,01-09-2005,Monaghan,DSO,North,54.2498,-6.9683
Tursillagh (2) Wind Farm,Wind,Onshore,6.8,01-09-2004,Kerry,DSO,South,52.1545,-9.5669
Richfield Wind Farm (2),Wind,Onshore,6.75,01-08-2006,Wexford,DSO,East,52.3369,-6.4629
Knockawarriga Extension (Knockacummer & Caherlevoy) Wind Farm,Wind,Onshore,6.6,12-02-2020,Roscommon,DSO,West,53.627,-8.19
Bellacorrick Wind Farm,Wind,Onshore,6.45,01-10-1992,Mayo,DSO,West,53.9846,-9.2822
Faughary Wind Farm,Wind,Onshore,6.0,16-12-2014,Sligo,DSO,West,54.2766,-8.4761
Cahermurphy Wind Farm,Wind,Onshore,6.0,23-01-2020,Clare,DSO,West,52.8436,-9.0038
Ballymartin (1) (Smithstown),Wind,Onshore,6.0,08-06-2011,Waterford,DSO,South,52.2593,-7.1101
Killin Hill Wind Farm,Wind,Onshore,6.0,23-06-2017,Donegal,DSO,North,54.6544,-8.1041
Lackan Wind Farm,Wind,Onshore,6.0,30-06-2008,Mayo,DSO,West,53.9846,-9.2822
Esk Wind Farm Phase 1,Wind,Onshore,5.95,16-10-2020,Cork,DSO,South,51.8979,-8.4706
