Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone
Cooly Wind Farm,Wind,Onshore,4,15-03-2017,Tyrone,DSO,NI
Moneenatieve Wind Farm (1),Wind,Onshore,3.96,23-09-2005,Monaghan,DSO,North
Beenageeha Wind Farm,Wind,Onshore,3.96,01-10-2000,Kerry,DSO,South
Knocknalour Wind Farm G3,Wind,Onshore,3.95,20-06-2013,Wexford,DSO,East
Templederry Wind Farm,Wind,Onshore,3.9,26-10-2012,Tipperary,DSO,South
Scartaglen 2 Wind Farm,Wind,Onshore,3.8,12-12-2017,Kerry,DSO,South
Roosky Wind Farm,Wind,Onshore,3.6,25-09-2015,Mayo,DSO,West
Clogheravaddy Wind Farm (Phase 3),Wind,Onshore,3.6,27-07-2023,Donegal,DSO,North
Ballaman (Kennystown) Wind Farm,Wind,Onshore,3.6,28-09-2012,Wexford,DSO,East
Carrane Hill Wind Farm,Wind,Onshore,3.4,01-11-2006,Monaghan,DSO,North
Black Banks (1),Wind,Onshore,3.4,01-09-2001,Monaghan,DSO,North
Meenanilta (3),Wind,Onshore,3.4,19-12-2011,Donegal,DSO,North
Meenadreen Wind Farm,Wind,Onshore,3.4,01-04-2003,Donegal,DSO,North
Monaincha Bog Wind Farm (Gate 2),Wind,Onshore,3.4,31-01-2014,Tipperary,DSO,South
Cuillalea Wind Farm,Wind,Onshore,3.4,01-04-2004,Mayo,DSO,West
CORNEEN Wind Farm,Wind,Onshore,3,01-08-2001,Cavan,DSO,North
Slievereagh Wind Farm (1),Wind,Onshore,3,25-09-2009,Tipperary,DSO,South
Mountain Lodge Wind Farm,Wind,Onshore,3,01-04-2008,Dublin,DSO,East
Rossaveel Wind Farm,Wind,Onshore,3,28-06-2019,Galway,DSO,West
Cappawhite A Wind Farm (Gate 2),Wind,Onshore,2.92,11-08-2017,Tipperary,DSO,South
Carrowleagh Wind Farm Ext. (2),Wind,Onshore,2.65,24-05-2019,Donegal,DSO,North
Knock South Wind Farm (Inverin),Wind,Onshore,2.64,01-01-1999,Galway,DSO,West
Tullynamalra Wind Farm,Wind,Onshore,2.638,15-04-2019,Meath,DSO,East
Killybegs Wind Farm,Wind,Onshore,2.55,19-12-2007,Donegal,DSO,North
Meenanilta Wind Farm (1),Wind,Onshore,2.55,01-09-2003,Donegal,DSO,North
Carrig Wind Farm,Wind,Onshore,2.55,01-04-2006,Cork,DSO,South
Curraghgraigue Wind Farm,Wind,Onshore,2.55,01-01-2004,Tipperary,DSO,South
Cronelea Upper Wind Farm,Wind,Onshore,2.55,01-07-2005,Carlow,DSO,East
Ballinlough Wind Farm,Wind,Onshore,2.55,01-01-2006,Tipperary,DSO,South
Mace Upper Wind Farm,Wind,Onshore,2.55,20-02-2010,Tipperary,DSO,South
Bunnahowen Wind Farm (Temp),Wind,Onshore,2.55,18-12-2019,Mayo,DSO,West
Beale Hill (2),Wind,Onshore,2.55,01-08-2003,Roscommon,DSO,West
Ballinveny Wind Farm,Wind,Onshore,2.55,01-01-2006,Tipperary,DSO,South
Shannagh (Kilcar),Wind,Onshore,2.55,30-03-2010,Donegal,DSO,North
DePuy 3MW Wind Turbine,Wind,Onshore,2.5,21-07-2014,Cork,DSO,South
Kilbranish Wind Farm,Wind,Onshore,2.5,11-10-2018,Galway,DSO,West
Grady Joinery Wind Farm,Wind,Onshore,2.5,05-08-2017,Mayo,DSO,West
Meenanilta Wind Farm (2),Wind,Onshore,2.45,01-07-2004,Donegal,DSO,North
CURRAGHGRAIGUE (2) Wind Farm,Wind,Onshore,2.44,24-08-2011,Tipperary,DSO,South
Enros - Sorne Hill Single Turbine,Wind,Onshore,2.3,18-12-2019,Donegal,DSO,North
Collon Wind Power Limited (Gate 3),Wind,Onshore,2.3,11-04-2016,Wexford,DSO,East
Gurteen Lower Wind Farm,Wind,Onshore,2.3,22-08-2017,Tipperary,DSO,South
Corvin Wind Turbine,Wind,Onshore,2.1,20-12-2018,Donegal,DSO,North
Wind Energy Project (Janssen),Wind,Onshore,2,21-07-2014,Cork,DSO,South
Anarget Wind Farm (1),Wind,Onshore,1.98,01-09-2000,Donegal,DSO,North
